Stadt,Jahr,Vegetationsindex NE,Vegetationsindex NW,Vegetationsindex SE,Vegetationsindex SW,Niederschlag [mm],Lufttemperatur [K],Temperatur [K],Taupunkttemperatur [K],Maximum Temperatur [K],Minimum Temperatur [K],Niederschlag [kg/m*m],Relative Luftfeuchtigkeit [%],Spezifische Luftfeuchtigkeit [g/kg],Temperatur [°C],Maximum Temperatur [°C],Minimum Temperatur [°C],Dengue Fälle
sj,1993-09-13,0.12,0.1,0.2,0.19,14.42,299.67,299.79,296.29,301.9,298.3,50.0,81.79,17.7,28.6,32.8,23.9,27
sj,1993-09-20,0.01,0.06,0.14,0.12,71.36,300.07,300.14,296.46,302.4,298.2,57.9,80.9,17.95,28.16,32.8,23.3,18
sj,1993-09-27,0.03,0.05,0.07,0.09,72.86,299.89,299.94,296.65,302.1,298.4,76.0,82.61,18.12,28.29,32.8,23.9,23
sj,1993-10-04,0.12,0.07,0.19,0.17,27.62,299.59,299.61,296.63,301.1,298.2,55.36,83.84,18.1,28.01,33.3,23.3,23
sj,1993-10-11,0.13,0.06,0.21,0.17,8.01,299.96,300.04,296.43,301.8,298.7,35.8,81.1,17.86,28.4,32.2,24.4,29
sj,1993-10-18,0.01,0.13057692307692306,0.13,0.15,0.0,300.18,300.24,296.17,302.4,298.0,17.0,78.81,17.59,28.2,33.3,23.9,38
sj,1993-10-25,0.12,0.11,0.27,0.11,70.07,299.79,299.72,296.11,301.5,298.1,57.6,80.4,17.56,28.07,32.8,23.9,36
sj,1993-11-01,0.14218700475435816,0.14,0.18,0.16,0.0,299.89,299.92,296.01,301.9,298.5,16.1,79.5,17.44,27.9,32.8,23.3,43
sj,1993-11-08,-0.16,0.05,0.08,0.17,0.0,299.23,299.35,295.3,300.9,297.8,25.6,79.04,16.66,27.64,32.8,23.3,46
sj,1993-11-15,0.17,0.01,0.18,0.11,12.5,298.85,299.05,295.19,301.0,297.5,70.71,80.38,16.58,27.17,31.7,22.8,31
sj,1993-11-22,0.11,0.18,0.26,0.27,91.81,298.57,298.68,295.26,301.1,296.8,118.1,82.15,16.66,26.89,31.7,22.2,25
sj,1993-11-29,0.36,-0.01,0.13,0.09,6.09,298.63,298.72,294.97,300.5,297.2,25.7,80.47,16.4,26.79,33.3,21.1,40
sj,1993-12-06,0.14218700475435816,0.13057692307692306,0.16,0.08,5.29,298.22,298.19,294.52,300.5,296.6,43.4,80.3,15.93,26.53,30.6,21.1,31
sj,1993-12-13,-0.29,-0.07,0.17,0.08,14.82,298.57,298.59,294.16,300.8,296.2,28.6,76.85,15.57,26.23,31.1,21.1,38
sj,1993-12-20,-0.02,-0.02,0.12,0.07,42.62,298.22,298.34,294.23,301.2,296.1,33.6,78.83,15.65,26.04,31.7,21.7,30
sj,1994-01-03,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,45.760388080388076,298.70191562932223,299.22570539419087,295.2464107883817,303.42710926694326,295.7191562932227,40.151818810511756,82.16215076071923,16.746445366528356,27.18576786978061,32.452437325905294,22.10214979195562,30
sj,1994-01-03,-0.12,0.02,0.09,0.18,12.6,298.19,298.29,293.59,300.1,296.3,19.5,75.74,14.95,25.5,29.4,21.1,31
sj,1994-01-10,0.14,0.1,0.25,0.21,0.0,297.59,297.69,293.72,299.6,296.0,19.4,79.15,15.1,25.46,29.4,21.1,26
sj,1994-01-17,0.07,0.17,0.15,0.14,0.0,297.91,297.94,293.37,299.7,296.2,16.4,75.98,14.78,25.09,30.0,20.0,35
sj,1994-01-24,0.09,-0.12,0.16,0.2,0.0,297.57,297.71,293.53,299.2,296.3,19.04,78.38,14.94,25.33,29.4,20.6,36
sj,1994-01-31,0.26,0.21,0.22,0.22,0.0,297.59,297.71,293.23,299.8,295.8,21.8,76.83,14.63,25.79,30.0,20.6,39
sj,1994-02-07,0.09,0.12,0.08,0.07,0.0,297.52,297.57,292.85,299.2,295.9,11.5,75.31,14.29,25.26,29.4,21.1,25
sj,1994-02-14,0.36,0.24,0.25,0.28,0.0,297.77,297.94,292.58,299.4,295.5,7.2,72.89,14.02,25.7,30.6,21.1,31
sj,1994-02-21,0.14218700475435816,0.09,0.14,0.07,0.0,297.46,297.56,292.67,299.3,296.1,11.5,74.79,14.16,25.74,30.6,20.6,37
sj,1994-02-28,0.14218700475435816,0.14,0.17,0.15,0.0,297.24,297.34,293.13,300.1,295.4,16.7,77.92,14.56,25.31,30.6,20.6,33
sj,1994-03-07,0.11,0.1,0.09,0.12,7.15,297.27,297.41,293.89,299.5,295.5,18.7,81.52,15.26,25.89,31.1,21.7,25
sj,1994-03-14,0.15,-0.05,0.19,0.14,0.0,297.5,297.67,292.86,299.8,295.6,6.69,75.44,14.33,25.84,31.1,21.1,24
sj,1994-03-21,0.04,0.1,0.15,0.14,0.0,298.01,298.21,293.18,300.5,295.5,2.9,74.65,14.62,26.73,32.8,20.6,18
sj,1994-03-28,0.1,0.16,0.13,0.12,46.62,298.28,298.46,293.53,300.1,296.8,6.66,75.08,14.95,26.7,33.3,21.1,23
sj,1994-04-04,0.11,0.05,0.14,0.12,0.0,298.12,298.31,293.15,300.0,296.8,4.4,73.95,14.55,26.43,31.1,21.7,13
sj,1994-04-11,0.16,0.13,0.19,0.16,0.0,297.54,297.62,293.73,299.6,296.0,37.0,79.52,15.15,25.97,30.0,21.1,18
sj,1994-04-18,0.14218700475435816,0.13057692307692306,0.15,0.18,0.0,297.54,297.74,292.85,299.6,296.3,16.6,75.25,14.29,25.97,30.0,22.2,14
sj,1994-04-25,0.08,0.03,0.1,0.09,0.0,298.32,298.49,293.46,300.9,296.8,4.9,74.52,14.88,26.67,31.7,22.2,17
sj,1994-05-02,0.07,0.08,0.16,0.13,68.0,298.93,299.09,295.24,301.1,297.0,14.1,80.35,16.62,27.76,33.3,22.8,22
sj,1994-05-09,0.11,0.1,0.12,0.11,10.46,298.56,298.7,294.92,300.5,297.2,21.1,80.46,16.28,27.41,31.7,23.9,13
sj,1994-05-16,0.07,0.02,0.17,0.16,16.5,298.47,298.55,295.38,300.6,297.3,28.9,83.14,16.77,27.71,33.3,22.8,24
sj,1994-05-23,0.12,0.11,0.21,0.21,17.52,299.94,300.23,296.06,302.3,297.7,7.9,79.5,17.49,29.1,33.9,24.4,31
sj,1994-05-30,0.11,0.14,0.2,0.16,6.59,299.6,299.78,295.34,301.7,297.8,16.7,77.66,16.71,28.57,33.3,23.3,34
sj,1994-06-06,0.08,0.07,0.06,0.06,42.53,299.33,299.54,295.64,301.3,298.0,21.5,80.38,17.02,28.23,32.8,23.3,31
sj,1994-06-13,-0.03,0.13057692307692306,0.16,0.22,13.82,299.61,299.8,295.49,301.6,298.3,3.7,78.29,16.83,28.33,32.8,24.4,31
sj,1994-06-20,-0.03,0.04,0.14,0.14,38.34,299.5,299.64,295.46,302.2,298.0,26.51,78.7,16.84,28.07,32.8,23.9,38
sj,1994-06-27,0.13,0.12,0.12,0.16,12.67,299.86,300.01,295.85,302.3,298.0,22.9,79.03,17.23,28.4,32.8,23.9,49
sj,1994-07-04,0.12,0.22,0.22,0.11,15.39,299.13,299.18,295.15,301.5,297.9,54.83,78.81,16.48,27.93,32.2,23.9,42
sj,1994-07-11,0.14,0.22,0.18,0.18,9.77,299.48,299.65,295.17,301.5,297.9,18.52,77.3,16.5,28.17,32.2,23.9,49
sj,1994-07-18,0.04,0.12,0.19,0.19,43.28,299.93,300.1,295.56,301.7,297.8,9.9,77.1,16.88,28.26,32.8,23.9,55
sj,1994-07-25,0.18,0.27,0.2,0.19,2.79,299.98,300.13,295.24,301.5,298.5,3.3,75.44,16.58,28.51,33.3,24.4,80
sj,1994-08-01,0.14218700475435816,0.13,0.18,0.11,26.96,299.58,299.64,295.36,301.7,297.4,22.9,77.8,16.71,28.26,33.3,23.9,84
sj,1994-08-08,0.04,-0.04,0.06,0.03,30.03,299.52,299.68,295.47,301.5,297.9,12.5,78.58,16.83,28.39,33.3,23.9,72
sj,1994-08-15,0.07,-0.02,0.18,0.22,17.77,300.01,300.13,295.49,302.2,298.3,16.6,76.44,16.86,28.51,33.3,24.4,89
sj,1994-08-22,0.16,0.13,0.19,0.18,3.24,300.36,300.54,295.93,302.7,298.5,11.56,76.92,17.34,28.57,32.8,24.4,115
sj,1994-08-29,0.02,0.15,0.21,0.2,59.91,300.39,300.54,296.3,302.7,298.7,20.24,78.48,17.71,29.43,33.9,25.6,179
sj,1994-09-05,0.05,0.08,0.29,0.25,19.45,300.07,300.18,296.13,302.4,297.6,28.3,79.14,17.52,29.29,33.3,24.4,202
sj,1994-09-12,0.14218700475435816,0.13057692307692306,0.1,0.19,61.11,299.95,300.06,295.91,302.2,298.2,70.4,78.75,17.31,28.56,34.4,23.9,272
sj,1994-09-19,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,39.22,299.89,300.04,295.96,302.3,298.1,50.7,79.31,17.35,28.37,32.2,24.4,302
sj,1994-09-26,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,55.88,299.51,299.64,295.82,301.8,297.7,45.2,80.37,17.25,28.01,33.9,23.3,395
sj,1994-10-03,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,0.63,300.38,300.5,295.36,302.5,298.7,2.8,74.12,16.74,28.71,34.4,24.4,426
sj,1994-10-10,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,16.7,299.64,299.62,295.48,302.9,297.8,40.8,78.23,16.9,28.33,35.0,23.9,461
sj,1994-10-17,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,75.57,300.24,300.4,295.69,303.0,298.3,15.81,76.35,17.12,28.57,35.0,23.9,381
sj,1994-10-24,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,111.52,298.81,298.86,296.17,300.5,297.5,64.85,85.42,17.64,27.67,32.8,23.3,333
sj,1994-10-31,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,5.41,299.87,300.05,295.85,301.9,298.3,15.6,78.69,17.26,28.16,32.2,24.4,353
sj,1994-11-07,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,32.26,299.3,299.13,295.58,301.5,297.2,36.6,80.1,16.98,27.31,31.7,22.2,410
sj,1994-11-14,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,32.17,299.2,299.3,296.17,302.2,297.5,47.5,83.58,17.64,27.29,32.8,22.2,364
sj,1994-11-21,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,11.16,299.42,299.46,296.38,301.9,297.6,23.7,83.5,17.85,27.86,33.9,23.3,359
sj,1994-11-28,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,17.52,298.85,298.85,294.81,300.7,296.3,27.4,78.56,16.18,26.89,31.7,21.1,288
sj,1994-12-05,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,45.95,297.81,297.95,295.2,299.4,296.6,106.09,85.57,16.58,26.37,30.0,22.2,221
sj,1994-12-12,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,0.0,298.62,298.74,293.94,300.5,297.2,16.5,75.46,15.33,26.59,31.7,21.7,149
sj,1994-12-19,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,0.0,298.58,298.69,294.21,300.6,296.9,12.2,76.91,15.6,26.64,31.7,22.2,112
sj,1994-12-26,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,5.25,298.53,298.78,294.4,301.0,296.0,3.4,78.02,15.78,26.97,32.8,21.7,22
sj,1995-01-02,0.22,0.22,0.29,0.26,0.0,297.33,297.4,292.73,300.1,294.7,12.5,75.84,14.25,25.7,31.7,20.0,91
sj,1995-01-09,0.14218700475435816,0.14,0.18,0.17,0.0,298.28,298.45,293.31,299.9,296.8,3.59,74.05,14.7,25.77,30.0,21.7,72
sj,1995-01-16,-0.12,-0.04,0.21,0.23,37.99,296.58,296.71,292.83,299.1,295.0,32.88,79.55,14.28,24.76,28.9,20.0,56
sj,1995-01-23,0.05,0.13,0.18,0.13,0.0,297.59,298.01,293.53,300.5,295.0,6.2,78.33,14.95,26.13,32.8,20.6,46
sj,1995-01-30,0.14218700475435816,0.14,0.22,0.21,0.0,297.35,297.65,293.91,300.2,295.6,43.3,81.4,15.27,25.5,31.7,21.1,37
sj,1995-02-06,0.03,0.06,0.17,0.17,0.0,297.86,298.01,293.03,300.5,295.2,3.6,74.66,14.46,26.09,32.8,20.0,26
sj,1995-02-13,0.06,0.13057692307692306,0.18,0.21,0.0,298.22,298.46,293.88,300.5,295.8,10.07,77.02,15.23,26.63,32.2,20.6,17
sj,1995-02-20,0.09,0.06,0.1,0.13,0.0,297.51,297.51,293.13,299.4,295.9,29.08,76.63,14.53,25.93,31.7,21.7,17
sj,1995-02-27,0.07,0.07,0.12,0.11,0.0,297.18,297.26,293.44,299.5,295.4,50.73,79.82,14.85,25.24,30.6,20.0,20
sj,1995-03-06,0.15,0.08,0.18,0.19,0.0,297.08,297.28,293.81,299.4,295.2,36.42,82.05,15.19,25.5,30.0,21.1,11
sj,1995-03-13,0.07,0.12,0.15,0.15,19.43,297.11,297.09,292.82,299.6,294.6,18.6,77.02,14.3,25.26,31.7,21.1,7
sj,1995-03-20,0.03,0.23,0.21,0.25,0.0,296.48,296.71,290.63,300.4,294.0,6.7,69.86,12.48,24.63,31.7,18.9,16
sj,1995-03-27,0.2,0.26,0.25,0.31,0.0,296.89,297.04,290.38,300.0,293.5,4.6,67.36,12.33,25.24,30.0,20.0,14
sj,1995-04-03,0.14218700475435816,0.25,0.23,0.27,0.0,297.67,297.92,292.56,300.9,294.6,0.0,73.4,14.12,25.97,32.8,19.4,16
sj,1995-04-10,0.14218700475435816,0.03,0.17,0.15,5.43,298.56,298.74,294.34,300.6,296.9,2.1,77.61,15.74,27.29,32.8,22.8,5
sj,1995-04-17,0.1,0.11,0.26,0.24,6.44,297.83,298.01,293.55,300.2,296.0,19.6,77.32,15.01,26.66,32.8,21.1,2
sj,1995-04-24,0.13,0.15,0.22,0.19,0.0,297.51,297.69,292.1,300.2,295.8,2.7,71.94,13.69,26.33,31.1,21.7,6
sj,1995-05-01,0.14218700475435816,0.15,0.21,0.16,20.96,298.79,299.07,294.2,301.6,297.3,4.1,76.07,15.62,27.84,34.4,22.2,5
sj,1995-05-08,0.14,0.11,0.2,0.17,9.01,299.13,299.36,295.43,301.8,297.0,9.0,80.26,16.82,27.77,34.4,22.8,4
sj,1995-05-15,0.04,0.1,0.17,0.16,119.62,299.0,299.09,295.4,301.7,297.1,17.4,80.87,16.79,26.91,31.1,21.7,3
sj,1995-05-22,0.03,0.16,0.23,0.24,204.62,299.45,299.58,295.99,301.7,297.3,17.3,81.45,17.41,27.23,31.7,22.2,4
sj,1995-05-29,0.14218700475435816,0.24,0.1,0.11,178.89,299.6,299.61,295.99,302.0,298.1,20.33,80.73,17.41,27.7,33.3,23.3,16
sj,1995-06-05,0.15,0.03,0.27,0.21,106.04,298.69,298.65,295.83,300.2,297.5,86.8,84.35,17.22,27.3,31.1,22.8,8
sj,1995-06-12,0.09,0.08,0.18,0.16,20.16,299.83,299.9,295.89,301.4,298.4,16.57,79.14,17.3,27.77,32.8,22.8,7
sj,1995-06-19,0.22,0.22,0.22,0.19,26.56,300.12,300.14,296.63,302.3,298.2,35.24,81.34,18.05,28.84,33.3,24.4,10
sj,1995-06-26,0.23,0.21,0.24,0.27,2.04,300.68,300.81,296.74,302.7,298.7,13.7,79.38,18.21,29.21,33.9,24.4,14
sj,1995-07-03,0.31,0.29,0.24,0.24,41.18,301.01,301.09,296.15,303.2,298.6,9.22,75.07,17.57,29.66,34.4,25.0,7
sj,1995-07-10,0.14218700475435816,0.17,0.24,0.22,25.89,299.94,299.98,296.58,302.0,298.5,60.59,81.96,18.01,29.29,34.4,24.4,9
sj,1995-07-17,0.12,0.11,0.16,0.17,36.58,300.4,300.66,296.85,302.8,299.0,38.3,81.09,18.35,29.23,33.9,25.0,11
sj,1995-07-24,0.14218700475435816,0.19,0.09,0.13,101.64,299.99,299.96,297.24,302.3,298.6,62.31,85.09,18.78,28.56,33.3,23.9,23
sj,1995-07-31,0.06,0.09,0.16,0.2,60.71,300.0,300.0,297.11,302.5,298.4,102.4,84.38,18.67,28.7,33.9,23.9,17
sj,1995-08-07,0.05,0.05,0.2,0.17,19.79,300.26,300.29,296.56,302.4,298.6,40.3,80.4,18.04,29.0,33.9,23.3,19
sj,1995-08-14,0.08,0.09,0.18,0.19,4.05,300.55,300.69,297.27,303.8,298.2,17.7,82.63,18.86,30.07,34.4,25.6,24
sj,1995-08-21,0.11,0.09,0.14,0.13,75.11,299.95,299.99,296.89,301.9,298.1,96.1,83.49,18.4,28.43,33.3,23.3,17
sj,1995-08-28,0.03,0.07,0.17,0.2,35.83,300.17,300.24,296.85,302.4,298.5,55.21,82.23,18.4,29.11,32.2,24.4,28
sj,1995-09-04,0.11,0.18,0.19,0.17,20.23,301.22,301.35,296.99,303.9,298.2,8.6,78.15,18.55,29.57,34.4,23.9,40
sj,1995-09-11,0.06,0.05,0.14,0.14,40.29,300.21,300.2,297.05,302.2,298.1,122.7,82.91,18.63,29.37,35.0,24.4,33
sj,1995-09-18,0.12,0.08,0.18,0.22,121.4,300.07,300.14,296.96,302.5,298.3,82.5,83.31,18.53,29.59,35.6,25.0,31
sj,1995-09-25,0.11,0.08,0.09,0.1,36.72,300.16,300.21,296.77,301.8,298.7,11.6,81.85,18.25,29.96,34.4,25.6,33
sj,1995-10-02,0.28,0.22,0.15,0.13,68.18,299.78,299.73,296.66,301.9,297.2,74.5,83.14,18.15,28.06,32.2,23.9,29
sj,1995-10-09,0.04,0.1,0.13,0.14,45.63,299.54,299.56,296.63,301.4,298.0,53.98,84.21,18.14,28.39,32.2,24.4,30
sj,1995-10-16,0.03,0.09,0.09,0.12,55.67,299.79,299.84,296.16,301.8,297.8,40.8,80.66,17.62,27.84,33.9,23.3,36
sj,1995-10-23,0.14218700475435816,0.13,0.16,0.14,54.74,299.44,299.42,296.34,301.8,297.6,46.4,83.21,17.85,27.47,32.2,23.3,48
sj,1995-10-30,0.23,0.08,0.27,0.29,30.3,299.77,299.94,296.17,302.3,298.1,40.4,80.86,17.67,28.04,33.9,23.3,40
sj,1995-11-06,0.02,0.03,0.21,0.24,0.0,299.1,299.29,295.22,301.1,297.5,32.4,79.4,16.6,27.23,31.7,23.3,28
sj,1995-11-13,0.04,0.07,0.2,0.19,24.86,299.62,299.81,295.37,301.9,297.8,9.9,77.64,16.77,27.16,31.1,22.8,36
sj,1995-11-20,0.03,0.11,0.24,0.25,90.49,299.28,299.4,295.14,301.4,297.7,12.7,78.14,16.54,27.31,32.2,22.8,19
sj,1995-11-27,0.14218700475435816,0.08,0.24,0.17,20.21,299.45,299.55,295.84,301.4,298.0,13.69,80.68,17.26,27.2,33.3,22.8,34
sj,1995-12-04,0.12,0.14,0.27,0.24,0.0,299.2,299.4,294.69,300.8,297.6,12.8,76.33,16.07,27.01,31.1,22.2,23
sj,1995-12-11,-0.01,0.01,0.18,0.13,0.0,298.46,298.58,294.73,300.3,297.4,23.6,79.99,16.11,26.61,30.6,22.2,17
sj,1995-12-18,0.14218700475435816,0.04,0.18,0.11,0.0,298.19,298.22,293.97,300.1,296.5,40.3,77.64,15.37,25.71,30.0,22.2,17
sj,1995-12-25,0.24,0.04,0.22,0.19,71.43,298.84,299.11,295.67,301.5,296.7,30.4,82.87,17.07,27.31,32.8,22.2,154
sj,1996-01-01,0.01,0.01,0.09,0.12,6.35,297.41,297.46,294.54,299.5,295.9,57.0,84.14,15.89,25.19,28.3,21.7,23
sj,1996-01-08,0.15,0.13,0.18,0.18,15.0,298.53,298.63,294.66,300.6,296.7,9.32,79.32,16.02,26.26,31.1,21.7,14
sj,1996-01-15,0.01,0.08,0.15,0.2,55.68,297.75,297.86,294.55,299.6,295.9,50.3,82.52,15.92,25.97,31.1,21.7,20
sj,1996-01-22,0.1,0.14,0.22,0.22,60.67,297.42,297.49,293.8,299.7,296.1,44.85,80.48,15.21,25.59,28.9,22.2,13
sj,1996-01-29,0.06,0.15,0.21,0.21,0.0,296.63,296.76,292.04,298.2,295.0,28.6,75.69,13.65,24.79,28.3,20.0,23
sj,1996-02-05,0.03,0.04,0.16,0.17,0.0,297.31,297.44,292.58,299.4,295.7,11.9,74.96,14.06,25.16,29.4,21.1,20
sj,1996-02-12,0.07,0.14,0.22,0.21,29.3,297.63,297.69,293.85,299.9,295.0,15.45,79.66,15.24,25.31,31.1,21.1,16
sj,1996-02-19,0.14218700475435816,0.06,0.16,0.13,7.2,297.88,298.09,293.7,300.0,296.1,16.7,77.78,15.13,25.97,31.7,21.1,16
sj,1996-02-26,0.08,0.11,0.27,0.22,177.58,297.6,297.71,293.73,299.6,296.0,15.67,79.2,15.13,25.56,29.4,21.1,23
sj,1996-03-04,0.14218700475435816,0.11,0.19,0.18,9.96,297.29,297.48,292.13,299.6,295.5,3.2,73.06,13.7,25.57,30.6,20.6,14
sj,1996-03-11,0.04,0.04,0.18,0.17,0.0,297.99,298.18,293.56,299.9,296.6,8.6,76.48,14.94,26.24,31.1,21.7,15
sj,1996-03-18,0.08,0.11,0.19,0.21,0.0,297.43,297.6,293.83,300.6,295.2,28.0,80.65,15.24,26.2,32.2,22.2,4
sj,1996-03-25,0.14218700475435816,-0.05,0.14,0.15,0.0,298.19,298.36,293.08,300.4,296.7,2.8,73.43,14.53,26.4,32.2,20.6,5
sj,1996-04-01,0.04,0.02,0.09,0.11,0.0,297.21,297.41,293.32,300.3,295.4,28.8,79.02,14.73,25.93,31.1,21.7,5
sj,1996-04-08,0.05,0.15,0.16,0.18,49.18,298.14,298.21,294.37,300.8,296.3,27.9,79.78,15.75,26.23,32.2,21.7,11
sj,1996-04-15,0.09,0.12,0.22,0.23,46.16,297.85,298.09,293.8,300.7,295.7,24.22,78.31,15.19,26.13,32.2,21.1,11
sj,1996-04-22,0.14218700475435816,0.11,0.18,0.18,0.0,298.23,298.46,293.28,300.4,297.0,10.9,74.17,14.71,26.13,30.0,22.2,7
sj,1996-04-29,0.31,0.2,0.22,0.2,5.63,298.01,298.09,293.54,299.8,296.6,21.5,76.39,14.94,26.01,30.0,22.2,4
sj,1996-05-06,-0.05,-0.04,0.1,0.09,0.0,297.71,297.8,292.92,299.4,296.3,11.1,74.79,14.36,25.44,29.4,21.7,6
sj,1996-05-13,0.14218700475435816,0.07,0.15,0.16,21.7,297.6,297.63,294.45,300.1,296.2,68.2,82.84,15.8,25.84,29.4,22.2,5
sj,1996-05-20,0.03,0.06,0.22,0.22,44.07,298.66,298.92,295.47,300.7,297.4,17.9,82.78,16.86,26.73,30.6,22.8,2
sj,1996-05-27,0.1,0.11,0.14,0.11,68.06,299.44,299.59,296.24,301.8,297.5,21.71,82.75,17.66,28.11,33.3,23.3,4
sj,1996-06-03,0.05,0.08,0.18,0.16,137.06,299.25,299.19,296.01,301.4,297.9,24.38,82.37,17.39,27.81,32.2,23.9,2
sj,1996-06-10,0.1,0.09,0.12,0.14,27.82,298.74,298.83,295.44,300.6,297.5,43.3,82.24,16.8,26.94,31.1,23.3,4
sj,1996-06-17,0.07,0.06,0.15,0.16,47.93,298.49,298.56,295.44,300.8,297.1,73.7,83.32,16.81,26.44,30.6,22.8,6
sj,1996-06-24,0.17,0.12,0.19,0.17,15.99,299.64,299.71,296.04,301.8,297.6,22.5,80.91,17.47,27.69,32.8,23.3,6
sj,1996-07-01,0.14218700475435816,0.07,0.22,0.18,6.01,299.58,299.69,295.83,301.5,297.5,23.9,80.06,17.21,27.94,32.2,24.4,4
sj,1996-07-08,0.06,0.08,0.16,0.17,24.35,299.73,299.84,296.34,302.0,297.9,35.23,81.84,17.76,28.01,32.8,23.3,6
sj,1996-07-15,0.11,0.1,0.17,0.16,97.22,299.02,299.06,296.12,301.4,297.1,123.2,84.32,17.54,27.27,31.1,23.9,11
sj,1996-07-22,0.0,-0.01,0.15,0.18,14.89,299.71,299.96,295.79,302.0,298.0,15.8,79.2,17.15,27.51,31.1,23.9,16
sj,1996-07-29,0.1,0.12,0.2,0.2,41.78,299.39,299.46,296.03,301.4,297.5,39.1,81.91,17.39,27.17,30.0,23.9,9
sj,1996-08-05,0.14218700475435816,0.05,0.13,0.14,34.04,299.14,299.12,296.41,300.7,297.7,67.71,85.01,17.81,27.67,30.6,24.4,12
sj,1996-08-12,0.08,0.03,0.14,0.23,19.92,299.65,299.79,296.08,301.8,298.1,29.2,80.94,17.48,28.01,31.7,22.8,13
sj,1996-08-19,0.14218700475435816,0.1,0.31,0.23,110.91,298.98,299.04,296.13,300.7,297.6,68.7,84.34,17.52,26.79,31.1,22.8,27
sj,1996-08-26,0.01,0.07,0.3,0.31,15.74,299.95,300.04,295.99,302.4,298.0,33.7,79.27,17.42,27.76,33.3,23.9,21
sj,1996-09-02,0.04,0.03,0.17,0.18,10.59,300.37,300.74,296.91,303.3,298.6,21.95,81.54,18.49,28.49,33.3,23.3,19
sj,1996-09-09,0.1,0.11,0.17,0.17,63.31,299.8,299.89,296.45,301.5,297.8,89.24,81.99,17.97,27.94,32.8,23.3,17
sj,1996-09-16,0.14218700475435816,0.03,0.15,0.11,243.55,299.48,299.44,296.88,301.3,297.6,151.7,85.69,18.41,27.04,31.7,22.8,24
sj,1996-09-23,0.04,0.0,0.19,0.18,59.12,300.32,300.44,297.09,302.3,299.1,19.32,82.64,18.6,27.87,32.8,23.9,27
sj,1996-09-30,-0.04,0.07,0.17,0.2,27.58,300.02,300.21,296.09,302.4,298.6,27.2,79.18,17.52,27.41,31.1,23.9,30
sj,1996-10-07,-0.01,-0.04,0.21,0.22,28.18,299.96,300.11,296.46,302.3,298.1,23.54,81.26,17.94,27.29,31.7,23.3,29
sj,1996-10-14,0.14218700475435816,0.06,0.22,0.24,4.62,299.8,299.84,296.05,301.8,298.2,23.7,79.96,17.49,27.57,31.7,23.3,25
sj,1996-10-21,-0.1,-0.09,0.15,0.17,17.37,300.34,300.46,296.72,302.1,298.7,7.1,80.73,18.23,29.04,33.9,24.4,35
sj,1996-10-28,0.01,0.02,0.18,0.15,16.06,299.25,299.34,295.72,302.3,297.7,65.2,81.13,17.14,27.04,31.1,21.7,33
sj,1996-11-04,-0.06,-0.01,0.12,0.14,51.59,299.17,299.24,296.26,301.5,297.5,59.22,84.11,17.7,26.84,31.1,22.2,30
sj,1996-11-11,-0.03,0.09,0.08,0.1,34.32,298.25,298.21,295.27,299.7,296.8,219.9,83.64,16.68,26.16,30.0,22.2,29
sj,1996-11-18,0.14218700475435816,0.04,0.06,0.06,42.76,298.48,298.56,295.44,300.5,296.8,113.55,83.4,16.84,25.87,29.4,22.2,31
sj,1996-11-25,0.14218700475435816,0.1,0.16,0.14,65.18,298.2,298.42,295.67,300.5,296.6,49.0,86.07,17.13,25.61,28.3,22.8,29
sj,1996-12-02,-0.12,-0.01,0.26,0.23,0.0,297.64,297.68,292.94,299.7,295.6,20.57,75.29,14.46,25.01,28.3,21.7,22
sj,1996-12-09,0.14218700475435816,0.05,0.16,0.18,0.0,297.83,297.98,292.66,300.6,295.2,3.8,73.25,14.25,24.8,30.0,20.6,27
sj,1996-12-16,0.14218700475435816,0.16,0.17,0.18,0.0,296.64,296.77,292.79,299.1,295.6,40.7,79.37,14.33,24.96,28.9,21.1,24
sj,1996-12-23,0.02,0.02,0.16,0.15,0.0,297.03,297.11,291.42,299.0,294.5,3.93,71.06,13.15,24.51,27.8,19.4,26
sj,1997-01-06,0.15,0.11,0.21,0.17,0.0,299.68,299.82,295.01,301.5,297.7,3.24,75.68,16.38,26.63,31.7,21.7,29
